"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Bronx","2","EXP","BXM7","Off-Peak","1,908","2,061","92.57642%"
"2020-01-01","Bronx","2","EXP","BXM7","Peak","776","845","91.83432%"
"2020-01-01","Bronx","1","EXP","BXM8","Off-Peak","2,073","2,411","85.98092%"
"2020-01-01","Bronx","1","EXP","BXM8","Peak","1,657","2,287","72.453%"
"2020-01-01","Bronx","2","EXP","BXM8","Off-Peak","641","696","92.0977%"
"2020-01-01","Bronx","2","EXP","BXM8","Peak","250","271","92.250925%"
"2020-01-01","Bronx","1","EXP","BXM9","Off-Peak","2,422","2,657","91.15544%"
"2020-01-01","Bronx","1","EXP","BXM9","Peak","1,765","2,195","80.41002%"
"2020-01-01","Bronx","2","EXP","BXM9","Off-Peak","649","693","93.650794%"
"2020-01-01","Bronx","2","EXP","BXM9","Peak","272","291","93.47079%"
"2020-01-01","Brooklyn","1","LCL/LTD","B1","Off-Peak","14,318","17,227","83.11372%"
"2020-01-01","Brooklyn","1","LCL/LTD","B1","Peak","6,337","8,547","74.142975%"
"2020-01-01","Brooklyn","2","LCL/LTD","B1","Off-Peak","5,201","6,461","80.498374%"
"2020-01-01","Brooklyn","2","LCL/LTD","B1","Peak","2,052","2,637","77.8157%"
"2020-01-01","Brooklyn","1","LCL/LTD","B100","Off-Peak","4,229","4,881","86.64208%"
"2020-01-01","Brooklyn","1","LCL/LTD","B100","Peak","2,896","4,104","70.5653%"
"2020-01-01","Brooklyn","2","LCL/LTD","B100","Off-Peak","965","1,065","90.61033%"
"2020-01-01","Brooklyn","2","LCL/LTD","B100","Peak","456","512","89.0625%"
"2020-01-01","Brooklyn","1","LCL/LTD","B103","Off-Peak","8,445","10,720","78.777987%"
"2020-01-01","Brooklyn","1","LCL/LTD","B103","Peak","4,056","5,880","68.97959%"
